INDEX;MEASURED;PREDICTED
1;7.6314;7.8221
2;6.3429;7.4367
3;3.9936;3.52
4;1.3622;1.5775
5;21.5801;20.9444
6;10.8942;9.7606
7;8.9038;9.3853
8;26.2821;27.6417
9;9.9583;9.4884
10;8.0705;7.7959
11;33.3974;32.1535
12;47.7244;46.3962
13;12.6506;12.7622
14;13.9167;16.8692
15;5.9808;6.8094
16;22.0865;22.1569
17;5.0833;4.2644
18;19.5641;17.4774
19;5.109;5.6109
20;5.7628;5.6322
21;19.6122;18.8689
22;12.3429;12.4946
23;15.6731;17.7016
24;3.4904;3.1965
25;5.6667;5.9365
26;20.5513;23.2455
27;20.9231;20.1707
28;22.7885;22.9572
29;32.4359;33.4674
30;14.1282;14.4515
31;2.7628;3.4677
32;23.141;25.2495
33;1.9071;1.6978
34;4.4615;4.5252
35;9.1667;9.2725
36;28.109;26.4746
37;16.3173;11.1129
38;7.0769;7.0384
39;17.7532;17.2419
40;19.9647;19.4627
41;6.25;6.2288
42;15.3558;14.5824
43;7.8077;7.8025
44;1.4744;1.5336
45;20.359;20.0156
46;6.8718;6.8872
47;2.4615;3.2485
48;18.2949;18.0172
49;16.734;16.2895
50;17.7276;18.6581
51;11.1795;10.5824
52;2.2853;2.4187
53;18.5032;17.881
54;10.9712;11.0551
55;0.6538;0.4375
56;27.7885;27.4779
57;4.3141;4.9526
58;5.5801;5.4932
59;22.7885;22.5517
60;13.3558;14.0396
61;8.9295;8.1725
62;31.6667;32.7724
63;2.9519;3.5733
64;14.3109;15.21
65;25.5128;24.8942
66;22.1955;23.8326
67;6.7949;7.1299
68;12.8301;11.6104
69;26.0577;27.3064
70;25.1282;24.2107
71;34.9359;37.3947
72;36.6346;35.9326
73;32.6282;32.1236
74;38.8141;37.509
75;41.3782;42.1449
76;1.6955;1.2042
77;22.5321;23.3875
78;19.8173;20.0469
79;11.4423;11.9954
80;24.0705;24.1343
81;14.1442;13.6456
82;0.5962;0.9139
83;4.3237;4.3441
84;3.0128;1.6464
85;0.5513;0.435
86;27.2436;26.5662
87;31.3462;31.7285
88;3.9487;3.7567
89;33.141;33.1365
90;24.9679;24.7517
91;19.0256;19.2484
92;9.1442;8.7699
93;25.4487;25.2354
94;16.5256;16.882
95;28.75;28.362
96;0.2949;0.6311
97;1.0577;1.2043
98;4.5032;4.1242
99;12.4904;14.3069
100;8.8974;8.9094
101;10.641;11.8694
102;1.4071;1.7418
103;4.3077;4.0606
104;33.9744;32.3567
105;16.6026;17.6634
106;24.0705;24.5773
107;2.2692;2.4806
108;29.5513;28.3388
109;18.4808;17.7565
110;5.7628;6.0829
111;0.766;0.7073
112;16.3974;17.1917
113;4.2981;4.6012
114;35.9295;36.4532
115;6.8397;6.3896
116;14.6891;14.5236
117;8.1442;7.9075
118;26.8269;27.3763
119;8.2051;8.7609
120;26.1218;26.0843
121;37.6282;37.3188
122;26.4103;24.4624
123;2.3077;2.1015
124;7.8429;7.4651
125;12.8878;13.8227
126;19.359;19.6894
127;7.9872;7.8847
128;18.9647;18.5437
129;4.141;4.9086
130;20.1378;19.8601
131;20.4231;23.0327
132;44.2308;43.1063
133;3.4615;3.8123
134;5.7885;5.3864
135;8.7051;9.9893
136;25.1282;25.9444
137;2.0833;1.6645
138;0.7532;1.1313
139;3.016;3.435
140;8.7724;8.673
141;49.8077;49.5341
142;31.6346;31.4188
143;37.4359;38.4123
144;21.734;21.213
145;27.9808;27.1502
146;30.1923;30.9453
147;12.9391;13.5801
148;5.2404;5.4179
149;32.8526;31.7859
150;3.7468;4.2703
151;37.9167;35.719
152;2.9808;3.0246
153;1.9808;2.1946
154;44.0064;42.2538
155;26.7628;26.5498
156;12.7179;13.0679
157;25.1923;25.5108
158;5.5801;5.0655
159;10.9615;11.8562
160;8.1699;8.9478
161;17.9904;20.0669
162;19.6442;20.9741
163;31.9551;32.4971
164;10.3974;10.7307
165;13.8782;14.6724
166;11.4872;11.5613
167;36.1218;36.8866
168;10.8942;9.0689
169;5.3974;5.8988
170;11.375;12.0672
171;5.8045;6.5413
172;27.2115;27.4874
173;4.1282;3.9909
174;13.8173;13.761
175;16.1538;16.7824
176;27.6923;27.6497
177;32.8846;33.8518
178;14.8397;13.2963
179;17.9167;18.5964
180;6.2212;6.7884
181;17.8558;17.277
182;6.9455;7.435
183;44.8077;44.1038
184;3.234;2.585
185;23.0449;23.3461
186;6.6667;6.7739
187;32.2115;32.4677
188;34.0064;34.0419
189;36.9872;36.6251
190;9.7692;9.9679
191;9.9776;9.4256
192;3.7019;5.4652
193;16.1891;15.7443
194;2.5673;1.0708
195;38.4295;38.2084
196;8.5929;7.8745
197;3.9231;4.4306
198;5.9776;6.0245
199;11.2724;11.0207
200;10.2821;10.028
201;1.1827;1.6774
202;33.6859;33.6232
203;34.9359;34.3796
204;3.5897;3.2978
205;15.5705;15.6862
206;1.4519;0.9669
207;1.2724;0.5929
208;3.6506;4.2079
209;46.4423;48.0824
210;27.1795;27.9576
211;16.234;16.9524
212;25.609;24.9244
213;12.5064;13.3398
214;21.3045;21.1557
215;33.5577;33.5526
216;9.3301;8.8048
217;20.4776;22.7943
218;29.9359;30.4595
219;0.516;0.527
220;27.8846;28.2165
221;16.5929;16.3549
222;19.5288;19.2633
223;0.5994;-0.2618
224;3.9295;3.8085
225;19.8397;19.1084
226;36.3141;36.7472
227;26.3782;25.896
228;19.5481;20.8447
229;3.3654;3.8216
230;8.6506;8.1643
231;12.9199;10.8782
232;5.9359;6.2703
233;29.391;29.2412
234;1.3429;0.6509
235;20.1442;18.3679
236;26.9551;25.9135
237;30.8974;29.7187
238;5.5673;5.8733
239;22.7244;23.3017
240;17.141;16.6509
241;0.3045;0.4233
242;2.8654;2.941
243;5.6282;5.4413
244;22.4167;22.3075
245;36.0897;35.681
246;27.5641;27.3745
247;35;35.4057
248;31.859;32.6181
249;43.4615;43.1479
250;26.7628;27.0737
251;10.0769;9.4793
252;10.1667;10.1529
253;27.6603;27.4119
254;18.1603;18.1097
255;10.0673;10.4002
256;21.0801;20.663
257;21.2628;21.3018
258;9.1026;8.5445
259;24.1346;23.4513
260;19.5032;19.4244
261;2.6378;2.5246
262;18.8365;19.5254
263;35.8333;34.6024
264;9.8942;9.6591
265;26.5385;26.1029
266;44.359;44.8426
267;3.5801;3.5451
268;0.6346;0.7175
269;15.6026;15.9017
270;15.4423;16.2784
271;4.9327;4.4121
272;17.5481;18.4254
273;24.6154;27.3024
274;25.3526;24.4069
275;3.2212;3.6553
276;45.9936;43.6737
277;20.8077;20.4195
278;19.5224;20.4094
279;5.1795;5.4312
280;19.6987;21.6801
281;25.5769;24.0748
282;23.5897;22.6147
283;39.2628;39.6674
284;0.2564;0.4617
285;17.1603;19.5613
286;12.7532;12.4461
287;0.9391;0.6236
288;17.9167;17.1801
289;26.6346;26.4288
290;44.1346;44.3912
291;12.5865;12.7375
292;0.7179;0.7656
293;33.2692;33.1468
294;51.9231;51.0912
295;22.0353;22.0331
296;21.4391;21.9783
297;7.6571;8.2909
298;5.1058;3.8488
299;0.0032;0.4375
300;14.6378;14.1226
301;1.5321;1.9517
302;15.1603;15.0683
303;37.6282;37.6722
304;1.6538;1.9997
305;21.7853;21.436
306;25.1282;25.525
307;1.1186;1.0222
308;18.7724;18.645
309;4.1955;4.46
310;19.9487;20.3625
311;33.3013;33.8819
312;4.2083;3.8189
313;0.5865;0.5019
314;27.6603;26.8658
315;8.391;5.2115
316;13.3782;12.6038
317;5.3205;4.8452
318;48.141;46.6552
319;34.1987;34.8549
320;4.2179;4.6833
321;31.7949;31.6412
322;4.984;4.9893
323;30.3526;28.2938
324;15.1442;15.0245
325;13.0513;13.1449
326;9.734;9.7139
327;3.7308;3.3415
328;30.2885;30.1484
329;29.0385;28.5005
330;33.2372;33.1861
331;1.7692;1.9665
332;30.8654;30.1493
333;11.9199;12.4031
334;23.1731;23.1449
335;17.3237;16.5878
336;28.0769;27.3828
337;23.5577;23.7194
338;29.3269;29.6562
339;37.4038;36.553
340;13.4615;13.3777
341;26.6026;26.7569
342;9.5833;9.4
343;22.4359;23.3855
344;5.3558;5.776
345;29.4551;27.8842
346;2.6346;2.7059
347;26.7308;26.7038
348;20.5833;21.601
349;24.9679;25.1421
350;14.4808;15.1385
351;2.2147;2.1784
352;14.7756;14.2104
353;1.1378;1.2977
354;21.0929;21.3562
355;1.8237;1.2872
356;24.2949;24.081
357;2.3526;2.4411
358;25.0321;24.0692
359;19.0609;19.8027
360;21.25;20.7785
361;29.5513;29.0734
362;18.891;19.2098
363;37.8526;37.9052
364;19.1667;17.9224
365;31.6346;32.14
366;7.0513;7.9684
367;1.25;1.4369
368;8.5673;8.6806
369;15.8301;14.0851
370;3.9583;4.1369
371;30.2885;31.3529
372;37.0513;36.829
373;0.7436;0.7314
374;4.5994;4.0881
375;30.0321;30.6471
376;27.6282;28.675
377;11.9423;12.168
378;15.2564;15.4902
379;8.6026;8.6845
380;24.7756;25.3607
381;15.7276;16.5831
382;3.1923;2.5375
383;24.6154;25.0867
384;30.9615;30.3768
