ORDEM;MEDIDO;ESTIMADO
1;211.1009;218.1387178
2;199.8624;198.1378877
3;228.8532;225.4888275
4;3.10442;4.321116814
5;7.156;6.405242201
6;423.51834;426.7118439
7;78.8991;76.018605
8;76.055;76.49692068
9;3.85358;1.882510733
10;104.3119;108.9281869
11;149.7706;152.9305956
12;28.7615;60.28772724
13;317.6301;346.5552125
14;179.7248;183.493959
15;343.578;343.6859153
16;194.2661;187.6445766
17;37.2477;40.54122627
18;41.8807;45.36843475
19;275.0706;262.7690912
20;242.4771;241.5096134
21;430.2752;433.7134814
22;156.53813;156.0415957
23;41.5138;36.87040683
24;405.39499;402.9786955
25;60.4587;63.77563915
26;159.2661;156.8886614
27;303.1193;299.5598899
28;204.0462;198.8209295
29;35.5505;34.98214361
30;151.9725;148.4311354
31;50.1835;52.59343677
32;18.1193;21.65327227
33;24.5872;26.75945375
34;241.8807;243.0509216
35;179.3119;172.6971919
36;156.3303;152.7708749
37;41.3761;38.00371089
38;406.84006;404.4183066
39;5.7339;6.114956752
40;320.60202;309.6446915
41;57.7064;54.73233154
42;212.844;207.1168428
43;113.3486;108.2056995
44;323.3945;323.2281827
45;269.3119;261.4705255
46;97.3394;102.3535282
47;48.55489;49.90167049
48;107.6605;112.6968236
49;187.0183;183.3888508
50;238.382;226.9620406
51;341.7431;323.4092736
52;183.578;161.7714662
53;13.4875;21.84637001
54;193.7615;198.2504055
55;0.5963;45.6659995
56;234.1743;258.1248479
57;63.8073;187.3581977
58;313.68016;285.962666
59;456.8807;462.6816393
60;376.1468;370.261657
61;93.83429;95.98193674
62;206.0092;212.0652367
63;49.1284;45.68902629
64;318.40073;310.4001341
65;293.945;273.8586947
66;200.7339;194.0821056
67;244.1284;245.3935439
68;288.8073;287.4832624
69;383.4862;376.0226022
70;214.0655;220.2287575
71;153.8532;156.6968698
72;191.71477;192.235164
73;334.4037;330.3523991
74;306.3761;305.1057894
75;107.4771;112.9621457
76;84.1743;83.05375454
77;236.8349;239.9509257
78;94.1284;98.65161277
79;102.6605;101.997729
80;410.0917;416.4560089
81;81.3761;86.97904348
82;37.5229;20.37377389
83;25.8702;32.30827628
84;333.0275;335.6106167
85;229.2661;217.7150579
86;420.1835;418.9943466
87;264.34624;281.2122011
88;384.85416;361.9714277
89;478.8991;486.417772
90;2.7523;4.603599751
91;115;118.1763672
92;14.8362;23.76425937
93;48.4862;47.61435797
94;305.0459;300.1537848
95;45.7339;40.2606108
96;282.3853;267.3676512
97;242.99155;265.1332702
98;25.367;26.70379323
99;247.88335;243.0368994
100;58.6697;60.71341958
101;171.1927;171.5385347
102;136.1468;64.01723918
103;382.1101;380.7353622
104;158.8991;156.6816272
105;242.0183;240.1774141
106;61.80624;62.73565451
107;87.09056;91.91965733
108;279.3119;277.9330548
109;7.7982;3.58661741
110;195.0917;196.2387066
111;243.4862;235.5744353
112;183.2569;181.1766897
113;150.8716;153.0474825
114;121.6055;123.3392184
115;189.9541;184.2822503
116;77.93832;58.09654669
117;232.2477;237.8855556
118;511.0092;503.4172519
119;47.6879;43.26803799
120;361.46436;351.3387902
121;129.7706;129.4730786
122;303.0275;295.9993092
123;450.9174;458.6103728
124;195.1376;194.0033697
125;103.7615;103.9138694
126;35.3211;34.11548737
127;276.0092;270.1737222
128;32.9358;27.15667329
129;63.0275;57.00678264
130;355.0459;333.8612354
131;121.3303;126.3870957
132;56.2844;58.51635043
133;226.01151;224.4188485
134;480.2752;483.5397261
135;4.8624;4.377650413
136;116.36882;114.1093836
137;95.27937;95.771608
138;236.6055;231.4039467
139;372.0183;366.4615535
140;349.5413;335.8146697
141;186.3303;192.3160984
142;149.3578;153.8109136
143;94.21964;101.6172341
144;330.7339;329.5811938
145;4.8165;8.792384309
146;326.6055;329.2945423
147;562.844;494.0069013
148;228.5321;222.2295073
149;12.8899;11.4614115
150;250.42328;243.4655748
151;411.0092;414.1637554
152;252.4771;250.9922895
153;295.6881;297.7063131
154;84.3578;83.89778145
155;148.6239;143.3661162
156;290.1376;287.0763231
157;302.7523;301.4272062
158;407.7982;410.5852406
159;0.4128;5.531923881
160;59.17213;59.03431925
161;105.4587;105.7181543
162;161.05364;157.2187914
163;91.422;89.58985503
164;228.4862;229.5158718
165;391.2844;390.6908819
166;324.56651;328.4626524
167;250.7798;254.3105603
168;8.2569;9.842728302
169;443.1193;445.1999712
170;480.7339;475.5018801
171;73.4404;77.22863723
172;45.4128;45.35333368
173;60.1376;48.06906853
174;15.9633;17.45990076
175;111.28882;106.9652127
176;130.57389;136.6722023
177;387.156;395.9138008
178;282.5229;275.3958571
179;125.4128;165.8915437
180;189.4037;189.7620804
181;6.1927;8.59550909
182;67.3853;67.65273184
183;167.2447;167.1864923
184;133.4862;135.5075774
185;19.2661;18.53604389
186;56.0092;53.77026251
187;32.156;31.91789395
188;82.2018;86.49702159
189;300.2294;300.2546262
190;9.73018;10.19391668
191;276.055;273.8208921
192;15.9923;14.71770288
193;61.5607;63.16757351
194;6.9725;4.631785458
195;205.68401;206.1195505
196;27.8899;29.09804863
197;373.3945;366.5875321
198;91.8349;91.87342762
199;189.8624;184.6231924
200;197.7842;222.4715231
201;92.6605;91.91290927
202;120.7339;117.4483017
203;493.578;499.1364717
204;65.3211;63.52336912
205;26.7431;27.38704124
206;43.8073;42.91849846
207;280.8716;274.1138126
208;51.1468;48.00575147
209;98.4862;98.57605385
210;297.1101;298.7462481
211;160.367;160.9509263
212;151.7341;164.6793704
213;367.8899;365.7265295
214;164.7248;167.3354653
215;156.2385;156.8144756
216;49.1284;42.80738709
217;273.4862;274.0694054
218;292.1101;293.3514245
219;89.4495;89.72934036
220;5.6422;6.019358579
221;319.2202;310.7711471
222;327.0642;334.2983306
223;115.6422;118.2649531
224;456.82027;448.0530089
225;338.0734;342.0462666
226;189.9083;193.6204566
227;180.5046;170.3673051
228;193.0734;194.1945873
229;105.1376;115.6274833
230;394.4954;413.6128868
231;215.79968;213.4317136
232;84.2202;81.54205086
233;37.156;39.93791589
234;150;157.7450969
235;173.79578;181.0222191
236;257.2477;263.021977
237;10.1376;11.62290844
238;128.1651;125.0786819
239;43.3945;43.74241045
240;14.633;17.72615306
241;328.9017;319.9957222
242;290.6422;292.2622938
243;498.1651;495.322626
244;372.0183;378.5802774
245;82.4771;83.02086473
246;55.8257;59.59969887
247;292.3394;294.5899792
248;616.5138;572.1240148
249;51.7431;49.97370395
250;245.4128;243.2564623
251;95.6422;94.01977562
252;341.7431;357.5538124
253;32.7553;31.1675003
254;370.36685;372.0455556
255;535.7798;520.5122711
256;29.82122;28.13484306
257;286.51249;292.067124
258;24.0826;23.8863835
259;149.85883;156.8084565
260;366.37767;378.0572343
261;12.79398;12.27341312
262;404.1284;402.3624274
263;308.945;306.26403
264;185.41858;178.327257
265;493.1193;491.0106869
266;122.844;119.5771857
267;78.3028;79.65795025
268;92.9358;91.61633636
269;273.1193;277.2755454
270;289.4954;287.1956277
271;57.7523;62.83805704
272;245.6422;252.2387905
273;141.2385;129.9870231
274;312.2936;300.6242764
275;142.2018;140.8755315
276;375.6881;373.5009818
277;120.8257;120.1176805
278;356.422;367.9818223
279;73.945;75.97778116
280;220.8716;210.6043318
281;175.0459;182.7795982
282;171.6514;170.8905368
283;444.9541;450.030237
284;120.8716;121.1350447
285;24.4701;23.29505371
286;271.422;272.9031624
287;376.58964;383.7601978
288;155.7798;153.4740662
289;275.367;266.7276117
290;14.1284;16.56223534
291;150.67443;137.5402901
292;305.5505;307.7991848
293;426.6055;430.08782
294;380.7339;387.4156625
295;346.789;341.0525343
296;212.1101;207.604496
297;260.6936;244.4688372
298;107.6147;106.6416049
299;505.9633;506.1121029
300;10.2294;11.35867067
301;238.578;239.0405976
302;46.0092;45.67293729
303;385.3211;393.3245055
304;164.2661;174.5364698
305;44.68482;48.8474427
306;35.1376;24.76671567
307;5.0459;6.326852118
308;28.1651;26.58114214
309;262.6605;261.9037882
310;222.2936;230.1898641
311;153.0275;163.9899547
312;88.61708;88.95956207
313;114.39324;118.1036732
314;186.0092;186.6722594
315;71.1927;72.05291399
316;60.3211;58.98466365
317;429.8165;452.9528297
318;251.1468;256.0751238
319;156.1927;150.2235272
320;305.2752;312.8792254
321;419.47314;426.8661188
322;5.3211;7.634354893
323;18.6697;21.53007786
324;362.23505;347.3108578
325;252.5688;236.1264373
326;357.6108;364.0585048
327;52.9817;54.88400942
328;154.8165;159.7487801
329;136.2385;141.6169333
330;42.2018;45.7043499
331;137.09053;139.6868694
332;10.98266;7.389144315
333;45.367;46.28588471
334;110.6422;108.2743174
335;58.32553;55.40159584
